"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2008-09",97.19665,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2008-10",96.88356,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2008-11",96.59681,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2008-12",96.42375,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-01",96.33321,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-02",96.3229,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-03",96.55709,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-04",97.05092,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-05",97.56017,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-06",97.96054,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-07",98.21995,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-08",98.4565,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-09",98.71539,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-10",98.85435,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-11",98.9256,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-12",99.03526,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-01",99.15648,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-02",99.20658,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-03",99.21408,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-04",99.18607,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-05",99.13457,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-06",99.08451,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-07",99.00479,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-08",98.98631,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-09",98.99088,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-10",99.04553,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-11",99.15969,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-12",99.2289,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-01",99.21666,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-02",99.11233,
